t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,T_ass,S_pct,iq_ref
2.89,0.161426512623404,0.0734797300142324,8.06655772675781,-0.525290949266134,-0.143860348931337,0.103740010150725,-8.01271445789341,1.06849948842424,1.37320014883163,995.994439519094,998.770102191369,999.948118454723,0.45,8.1737848655428,0.0930652922641002
2.9,0.122427197987509,0.0149113290961936,8.53538940385602,-0.29070070154456,-0.0848394528320951,-0.0895155505241325,-4.84574986822323,-7.03250221386035,2.50420801974152,1003.91553074058,995.93798019041,999.948118454723,0.45,8.1737848655428,0.132147829697843
2.91,0.0344526361291079,0.0929705171313185,8.24231982173245,-0.525021554933813,-0.068651223268726,-0.0715367789016045,4.06573427389623,-7.18896991862773,-2.69050033179559,995.980706168868,1003.91553074058,999.948118454723,0.45,8.1737848655428,0.0442121204719221
2.92,0.161482109437053,-0.0143837148488149,8.77010420480489,-0.290768395505682,0.162074552365032,-0.00389902510464792,8.74703422049066,-0.699046757039032,-1.68368733560703,1003.91553074058,995.980706168868,999.948118454723,0.45,8.1737848655428,0.200542270206894
2.93,-0.00463543799612037,0.00512958303817967,8.41828133997851,-0.290633928589255,0.00130079296061056,-0.00679027578490617,4.84043249061322,6.89363054589478,-0.646684676190248,993.868822090522,998.770102191382,999.948118454723,0.45,8.1737848655428,0.0344414861134865
2.94,0.132153462180004,-0.00465231628457884,8.53558905714604,-0.290566234628134,-0.0600748910236545,0.117801481660757,-3.87115486105433,7.6128095556708,0.436400172411118,1003.88958996794,995.937980190396,999.948118454723,0.45,8.1737848655428,0.14191846405628
2.95,0.288342340065094,0.112550044577755,7.71511266208415,-0.877435929486982,-0.272493182668456,0.146820581009219,-7.76454566684786,0.0684674115186135,1.44873566798703,995.9944395191,998.770102191373,999.948118454723,0.45,8.1737848655428,0.122377195339407
2.96,0.132142158899495,0.005112570643137,8.47700299557478,-0.290565774125226,-0.0749397051103308,-0.108957464797861,-4.2846244103414,-7.3202460285419,2.57777998356504,1003.91553074058,995.980706168868,999.948118454723,0.45,8.1737848655428,0.122377195339407
2.97,0.0539884447868655,0.0246822316680665,8.12504545678497,-0.408062252982184,0.0076976377565057,-0.0588617966391627,4.65392386490942,-6.67262100952523,-2.58275023297048,995.980706168868,1000.86367513607,999.948118454723,0.45,8.1737848655428,0.0344414861134865
2.98,0.161334132253411,-0.0436722067231971,8.71216724643299,-0.0560517396711484,0.161700180450776,0.0422967553391652,8.7123286703353,-0.0181402148124144,-1.57931209752145,1003.90027146258,998.672442812051,999.948118454723,0.45,8.1737848655428,0.181001001490023
