t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,T_ass,S_pct,T_ass_target,S_pct_target,iq_ref
7.51,0.0833373440348091,-0.00470081190105821,16.9229791208974,-0.760039412332118,0.0829426848008381,0.00936597999859487,16.8537444877581,1.70768234048052,-1.51469885490579,2049.82612052693,2060.81585255876,1999.73601449021,0.28,7.9979216863333,1,0,0.112606560980971
7.52,0.0735667665151866,-0.0924656288294883,16.9816328322599,-0.760860932326065,-0.11086517566356,-0.0408763314819311,-14.9118395238946,8.1603802008021,1.02529830170124,2049.80170568211,2055.82000702452,1999.73601449021,0.28,7.9979216863333,1,0,0.112606560980971
7.53,0.141884224210621,-0.121888663621485,16.6300688340425,-0.290839684303558,0.178827729470404,-0.0548509122234196,9.12802508780301,-13.9040618217626,-2.57814815018888,2048.00416273107,2055.92677988034,1999.73601449021,0.28,7.9979216863333,1,0,0.122377195339407
7.54,0.0930995775810874,0.171187510485353,16.8643245906332,-1.58183042450452,0.191829628989106,0.0342649753225001,3.82567116878679,16.5006627593693,-0.32134810220971,2041.89129595523,2055.92677988033,1999.73601449021,0.28,7.9979216863333,1,0,0.112606560980971
7.55,0.103007580562551,0.122248454884396,16.9809109012478,-1.58152028807396,-0.152980391612579,0.0463923070889414,-13.3778253335804,-10.5776335161473,2.14696367162079,2068.6133436283,2055.98781699244,1999.73601449021,0.28,7.9979216863333,1,0,0.122377195339407
7.56,0.122411571598738,0.102672639390714,16.7470163490077,-1.46419415841606,0.11947958921949,-0.106070219669191,16.7815334512174,0.993255331292975,-1.5988862897362,2073.76640181638,2060.67546720094,1999.73601449021,0.28,7.9979216863333,1,0,0.112606560980971
7.57,0.0735068126818996,0.0051726102015031,16.9817867859766,-0.995410723653142,-0.056583057727948,0.0472055609552971,-14.3536713688226,9.12929587585887,0.945758697613259,2073.73588326037,2055.89015761308,1999.73601449021,0.28,7.9979216863333,1,0,0.112606560980971
7.58,0.190642383841008,-0.209617569635487,16.3959200807462,0.178043759208481,0.279100526809268,-0.0488563194608412,8.62453928321042,-13.9454371400387,-2.57685956698213,2055.95424658077,2055.89015761308,1999.73601449021,0.28,7.9979216863333,1,0,0.112606560980971
7.59,0.229750635263089,-0.34618184545254,16.3957655810908,0.76404334133028,-0.308363719703899,0.278458328830535,3.1823561001836,16.1020961638271,-0.148555233049755,2049.90699470041,2052.93596138794,1999.73601449021,0.28,7.9979216863333,1,0,0.14191846405628
7.6,0.239676644857184,-0.219327181587014,16.570950054161,0.177625689831938,-0.0272630670484626,-0.323737597211091,-12.2938888641581,-11.112525958526,2.31648421462902,2037.15329012936,2057.72127097579,1999.73601449021,0.28,7.9979216863333,1,0,0.171230367131587
7.61,0.181009652393937,0.0539221985029557,16.8644270217191,-1.46450128912185,0.179853228064915,-0.0576620681713355,16.8911567334589,1.11466901026867,-1.59152295723939,2044.95841083776,2052.83830200858,1999.73601449021,0.28,7.9979216863333,1,0,0.161459732773151
7.62,0.288365369900109,0.161104579631542,16.0439481324764,-1.46325145294403,-0.119165485587426,0.308072814738002,-13.2849724168679,9.11366470609897,0.878568288609306,2044.94315155972,2055.82912050098,1999.73601449021,0.28,7.9979216863333,1,0,0.132147829697843
7.63,0.103000725773046,0.0636059373172843,16.8637499938728,-1.11211097885622,-0.016315951084166,-0.119952717818329,7.86220111014575,-14.9602355726359,-2.72357396691972,2055.8993131799,2062.86669952498,1999.73601449021,0.28,7.9979216863333,1,0,0.112606560980971
7.64,0.0736195586278862,-0.0633777625661935,16.8640618593348,-0.172892462033501,-0.0433017725163438,0.0869570968777384,3.98436640375369,16.3875348530381,-0.248757916051683,2052.79862788571,2060.7120894682,1999.73601449021,0.28,7.9979216863333,1,0,0.102835926622536
7.65,0.0930305067634423,-0.00463235494509147,16.92323727999,-1.23016504107786,-0.0711801976351003,-0.0600792257409187,-12.7135374020932,-11.2372253153842,2.22206966305637,2047.94007376335,2052.83830200858,1999.73601449021,0.28,7.9979216863333,1,0,0.112606560980971
7.66,0.0637969279034289,0.171038796787191,16.8056159445464,-1.69872728161857,0.0600163168191954,-0.172401739352546,16.8389383463447,1.32836629771745,-1.59281154043204,2049.81696496011,2057.82503406635,1999.73601449021,0.28,7.9979216863333,1,0,0.0832946579056646
7.67,0.190640849187072,0.112458336098068,16.1612077176279,-1.22922219899013,-0.0890820513597039,0.20262082534197,-13.8369648953272,8.44002515353401,0.947170003005157,2062.8438106079,2057.78230808788,1999.73601449021,0.28,7.9979216863333,1,0,0.0832946579056646
7.68,0.102801004708172,-0.0339791458313377,16.688726844644,-1.23006052373268,0.0775406764700695,-0.0755650210944248,8.78436431493395,-14.2429489983536,-2.66251966834122,2060.73345245742,2055.82912050099,1999.73601449021,0.28,7.9979216863333,1,0,0.0930652922641002
7.69,0.0930565504176772,0.141909722209857,16.8058250377145,-1.58213536922888,0.164172203186094,0.0429578692946986,3.85835030924703,16.4332601882879,-0.324477518528507,2055.85048349023,2045.00113681624,1999.73601449021,0.28,7.9979216863333,1,0,0.102835926622536
7.7,0.122350935696876,0.0930652922641002,16.6886748443187,-1.69956342037521,-0.153282430809887,0.0116359999620057,-13.0858639841416,-10.4957395007601,2.14530692181097,2057.67244128607,2049.90852062827,1999.73601449021,0.28,7.9979216863333,1,0,0.112606560980971
7.71,0.190727812938413,0.0832245412495931,16.4541119991969,-1.34706749977029,0.189212585363636,-0.0866142045768733,16.4755268894702,1.05328355412954,-1.58863898534898,2060.75786730226,2052.83830200858,1999.73601449021,0.28,7.9979216863333,1,0,0.122377195339407
7.72,0.0735854551960548,0.0246884036547154,17.1574324377768,-1.46491717251853,-0.0408540764538674,0.065994552264034,-14.1377976509783,9.83087726295107,0.878016038681027,2060.73345245743,2055.76808338892,1999.73601449021,0.28,7.9979216863333,1,0,0.14191846405628
7.73,0.142067848456572,-0.0532130289471795,16.92239435609,-0.644291836151598,0.105416818651293,-0.109097178516465,7.3341450803054,-15.2641035981216,-2.73173499375797,2044.96756640454,2049.90852062827,1999.73601449021,0.28,7.9979216863333,1,0,0.161459732773151
7.74,0.16138054460431,-0.219287053215904,16.9234497852528,-0.0572577372517936,-0.159076380160681,0.220964244075536,5.14665226986482,16.1219850358305,-0.312389381014142,2041.94622935617,2044.96451454896,1999.73601449021,0.28,7.9979216863333,1,0,0.171230367131587
7.75,0.190868546434305,-0.102259294372026,16.8639500791089,-0.64344831969222,-0.102052405554829,-0.19097924448453,-13.6728393920088,-9.89243655380842,2.15899044803104,2049.85206129959,2049.84748351616,1999.73601449021,0.28,7.9979216863333,1,0,0.171230367131587
7.76,0.102915319412353,-0.0339705972377462,17.0400700120847,-0.995203874946821,0.105278890474219,0.0257277994969134,17.0654130819266,-0.355095920376457,-1.64993872835925,2055.91457245792,2057.68464870852,1999.73601449021,0.28,7.9979216863333,1,0,0.132147829697843
7.77,0.151591937737328,0.0633205825349734,16.3370709245919,-1.462794035869,-0.0642161672393737,0.151214733490526,-12.7103261228976,10.3676064082365,0.797264825667544,2057.65718200802,2057.62361159643,1999.73601449021,0.28,7.9979216863333,1,0,0.073524023547229
7.78,0.180877183296548,-0.0341033050590689,16.2199229831796,-0.642281141028387,0.0914485431885118,-0.15973964693195,5.91781726480254,-15.115484294749,-2.80800684617635,2062.84381060791,2052.77726489649,1999.73601449021,0.28,7.9979216863333,1,0,0.0832946579056646
7.79,0.0345034747850476,-0.0339352433465471,16.981520983792,-0.642918901768038,-0.0181889165519372,0.044847004670306,5.89008890262961,15.9402714015897,-0.391790649725376,2057.71211540897,2052.83830200858,1999.73601449021,0.28,7.9979216863333,1,0,0.0930652922641002
7.8,0.161477466557677,-0.121666991314918,16.805771809036,-0.643878002105339,-0.0683287715556415,-0.190286646823173,-13.7012255425786,-9.75320273604395,2.1511362266994,2044.94315155971,2047.89429592927,1999.73601449021,0.28,7.9979216863333,1,0,0.161459732773151
7.81,0.122448221420165,-0.0435904148525799,16.9814670044536,-0.760987446131255,0.121099199411674,0.0472088455465004,16.9513645295518,1.26513402561426,-1.54108412966022,2049.78644640407,2055.82912050099,1999.73601449021,0.28,7.9979216863333,1,0,0.151689098414716
7.82,0.14191846405628,0.0149091070245419,16.8644789538018,-1.11252535938713,-0.0920788765920733,0.109016569373213,-12.9388467058458,10.8735738826353,0.806039463560053,2049.82612052695,2049.78644640407,1999.73601449021,0.28,7.9979216863333,1,0,0.14191846405628
7.83,0.141829454098694,-0.0633182634454231,16.7475985888635,-0.407955276405329,0.107105156617518,-0.112486807944818,5.98546178305993,-15.6468122390721,-2.80058611886521,2057.74721174842,2060.81587820974,1999.73601449021,0.28,7.9979216863333,1,0,0.132147829697843
7.84,0.132147829697843,-0.131489963073017,16.8644789538018,-0.526347482977172,-0.0571075614175755,0.177458123825682,7.19223683800389,15.2630082658079,-0.471560085072012,2052.83830200858,2055.76808338888,1999.73601449021,0.28,7.9979216863333,1,0,0.132147829697843
7.85,0.112642255906384,-0.0632648574708714,16.8643182441373,-0.760454475985461,-0.0682356808959769,-0.109702378548286,-14.4123313597681,-8.79023467410473,2.07340924655128,2057.69685613093,2057.79142156434,1999.73601449021,0.28,7.9979216863333,1,0,0.122377195339407
7.86,0.112633366278501,0.0245725656641093,16.9229719554987,-0.407632707187677,0.109928437875944,-0.034724987094292,16.8898023938706,-1.13477721450875,-1.66196550475506,2049.82612052694,2057.72127097579,1999.73601449021,0.28,7.9979216863333,1,0,0.132147829697843
7.87,0.0931010781321343,-0.0046857836552985,17.0403332893196,-1.22984547758695,-0.0705299823706765,0.0609531697668143,-13.1663568883229,10.8872643395459,0.807818935572505,2052.8535612866,2060.77312658029,1999.73601449021,0.28,7.9979216863333,1,0,0.14191846405628
7.88,0.13210304052403,-0.0438042092668624,16.8646940522567,-0.760131906768641,0.0851181521639654,-0.110113224625295,6.30760939968648,-15.659175254556,-2.80371156888458,2048.01942200911,2062.90942550344,1999.73601449021,0.28,7.9979216863333,1,0,0.14191846405628
