,Unnamed: 0.1,Unnamed: 0,t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,omega_ekf,omega_meta
1109,1109,1109,11.09,0.0833923642528229,0.0051295830381796,2.43502905712857,-0.0557772798034009,-0.0564919922366961,0.0615569155412302,-1.79217776978543,1.64941700472915,0.803953186041679,250.717567549009,247.922067815655,249.802010867657,257.344529743591,180.94502
1110,1110,1110,11.1,0.0737194362418928,0.0732309045052333,2.55175035011889,-0.523729152441656,-0.10086164200893,-0.0249849920099964,-0.877214616151032,-2.45279770703988,2.59569742598856,250.717567549009,250.717567549009,249.802010867657,254.739798069407,192.95569
1111,1111,1111,11.11,-0.0241334668633762,-0.0727912259605434,2.90426038582538,0.295333410084331,-0.0117371309175436,0.0757840785225301,2.81516337121019,-0.772531814997351,-1.73728012390586,252.853866472162,250.717567549009,249.802010867657,257.713102245236,184.16595
1112,1112,1112,11.12,0.151395979371574,0.0147048047011878,2.49426951239826,-0.0551901381566218,0.0165356368485426,0.151206965994267,-0.0250051512567296,2.49475471624764,-0.0121004097028614,250.714820879586,242.816923759748,249.802010867657,248.306304361612,191.82593
1113,1113,1113,11.13,0.180805588794292,0.0926744668726399,1.96726407639187,-0.523142010784355,-0.202174524339672,0.0201166462763105,-1.63957723456701,-1.20647917578342,1.94526972241084,250.717567549009,252.819685689253,249.802010867657,250.136745533124,188.00632
1114,1114,1114,11.14,0.073377464025171,-0.0045921981462366,2.6121638837606,-0.0557772798034009,0.047574195668202,-0.0560538706701259,1.60728798793709,-2.05988751741416,-2.50034227019141,250.717567549009,252.853866472162,249.802010867657,260.382598304868,177.38007
1115,1115,1115,11.15,0.132294389220161,-0.0442609736691673,2.55233688929697,0.181427935581555,0.0521028683775131,0.129406840298779,1.79332511319937,1.82519169695788,-0.705628152805998,247.970897504955,247.970897504955,249.802010867657,255.301042236793,169.94926
1116,1116,1116,11.16,0.10332445834236,-0.0140208603028323,2.1408796679662,0.176730802485453,-0.103095350610598,0.015616558450937,-2.00467075530994,0.771942155905033,1.28558876437374,250.719703847858,252.853866472162,249.802010867657,258.533996951077,180.39406
1117,1117,1117,11.17,0.171230367131587,-0.0337575417072878,2.4356155963109,0.0604767613389404,0.0141908177581613,-0.173948357110644,-0.335334431977657,-2.41317873154584,3.02834229880125,247.970897504955,255.856892386893,249.802010867657,258.45134447622,181.37216
1118,1118,1118,11.18,0.170546422721403,0.0241334668613353,2.14586525086554,-0.170857037690979,0.17216104937485,0.0053925507846602,2.08502017598139,0.535369655426324,-1.39891045145207,250.717567549009,250.717567549009,249.802010867657,258.286921167253,150.81636
1119,1119,1119,11.19,0.0639488018777643,0.0049830235214514,2.37608187147411,-0.0551901381760211,-0.028254536153378,0.0575843813179785,-1.25671485272528,2.01729491900403,0.533915239059225,252.853866472162,252.853866472162,249.802010867657,261.198511096616,176.97078
1120,1120,1120,11.2,0.0833923642503584,-0.0728400791399195,2.4939762428145,0.178492227353825,-0.0011216488644282,-0.110719038327648,-1.79283689765013,-1.74284618752576,2.41350403564677,250.717567549009,252.902696161847,249.802010867657,259.648005343896,182.73022
1121,1121,1121,11.21,0.0641442145682627,0.0341483670788845,2.43385597880518,-0.288872503700232,0.0433889483760611,-0.058292284185414,2.32373643421165,-0.779327423665478,-2.01252149252398,252.853866472162,255.905722076665,249.802010867657,257.711385805389,166.18124
1122,1122,1122,11.22,0.103129045657658,0.0043479322778526,2.14087966795005,0.0651738943738316,0.0156813829080479,0.102022540663539,0.30060026706407,2.12067273962552,-0.110376354066453,252.853866472162,250.717567549009,249.802010867657,263.798216532969,167.78313
1123,1123,1123,11.23,0.0539827548303577,-0.0143628325060843,2.31830776413618,-0.0557772798034009,-0.0510116023562537,-0.0227649994886843,-2.27993352250394,-0.423751256233082,1.73050585804985,252.853866472162,255.856892387061,249.802010867657,259.062174025091,180.59573
