t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,omega_obs,r,T_ass,S_pct,T_ass_target,S_pct_target,iq_ref
2.72,0.952924079516024,0.0246585764094568,17.978645444804,-1.22998675814021,0.921291887695092,-0.244731698762578,17.7745415289107,-2.96820364735963,-1.80456871067975,1945.74411106313,1934.69486784701,1999.73601449021,0.23,4.98932613502302,0.5,0,1.20691760912577
2.73,1.72477971083548,-0.112065667243977,17.9787739280299,-2.05235494162999,-0.0608751921008864,1.72734419722047,-1.51836644658717,18.0317230484366,-0.0296552064232762,1968.92757807834,1981.63234841344,1999.73601449021,0.23,4.98932613502302,0.5,0,1.76384376755661
2.74,0.84545050888276,-0.395379866422016,18.1546238545773,-0.995724030836017,-0.462814430602156,-0.810502686342501,-14.2591618813725,-11.2808747926562,2.18531436169075,2013.80049104362,2044.74478094543,1999.73601449021,0.23,4.98932613502302,0.5,0,0.923569212731136
2.75,-0.26847610315207,-0.0632152145303403,15.4570271013393,-1.46521548924551,-0.266689950246685,0.0703708160337685,15.4906765429657,1.05141974618884,-1.59753634545364,2055.85048349021,2078.71803753475,1999.73601449021,0.23,4.98932613502302,0.5,0,-0.415007694374557
2.76,-1.24551472880788,0.0440875618203972,13.9318392296157,-0.172681651541849,0.980252511911477,-0.769646454988183,-10.7580253942428,8.85386090298828,0.869793037352821,2055.83522421213,2049.78644640407,1999.73601449021,0.23,4.98932613502302,0.5,0,-1.37252986150126
2.77,-1.13805338839158,0.102735918661021,13.8145878840018,0.179530098443149,-0.0411330345788629,1.141940566439,-0.925232996283566,-13.7847384220247,3.08756803648897,2021.68038221441,1994.9751197472,1999.73601449021,0.23,4.98932613502302,0.5,0,-1.19665844304942
2.78,-0.248972777438498,0.171195865287262,14.6945853202269,-0.642692723445288,-0.209880857770092,-0.217360285559677,14.2720645664989,3.55697409041504,-1.37025481583881,1968.9015913901,1937.88710880937,1999.73601449021,0.23,4.98932613502302,0.5,0,-0.219595007205843
2.79,0.786742557948963,-0.0632113446384348,16.7472467079574,-0.290898752478955,-0.400517558673885,0.680106764981048,-7.57701178096925,14.9379980871748,0.452047253964109,1945.75326663,1929.78748403499,1999.73601449021,0.23,4.98932613502302,0.5,0,0.884486675297394
2.8,1.83221925348859,-0.131586638767834,18.0962491202612,-1.93501014592001,-1.41015962027321,-1.17719678971166,-13.5565099979085,-12.1424681660679,2.19470261061595,1952.7786382315,1960.81264811034,1999.73601449021,0.23,4.98932613502302,0.5,0,1.89086201421627
2.81,1.16786360510021,-0.160996564084723,17.9201162190789,-2.1694871188761,1.17168323952131,-0.130321448693648,17.904934253042,-2.29141202285982,-1.81855904239969,2005.82446642118,2028.63098335361,1999.73601449021,0.23,4.98932613502302,0.5,0,1.1873763404089
