t,iq,iq_ref,id,vq,vd,ia,ib,va,vb,theta_e,omega,r
49.753,0.340925306455204,-0.00787754012793177,0.3555294901995,9.37319889745128,-0.390761451393873,0.455020366115136,-0.188647155832094,8.42685691909528,4.12281876246984,-1.1574527560661,1016.20725838005,1000
49.754,-0.259544118606995,-0.600870432508991,0.111591853727986,9.31733669450042,-0.205889681995414,-0.00181979756585725,-0.282511202713714,3.5467091768663,8.61835295486141,-0.412500072981332,1016.21100033324,1000
49.755,-0.297968241804093,-0.986958388178713,-0.0515938385416014,8.8651266163104,-0.0367938684574028,0.0484373247295898,-0.298497609491801,-2.92691581527609,8.36809342217556,0.332320351724472,1015.94397067419,1000
49.756,-0.357375957650954,-1.02020277679604,-0.132708736388936,8.74728307591476,0.0619753505853023,0.25176783218811,-0.286255379855443,-7.67272636004739,4.20096088509509,1.07694514686227,1015.66532252044,1000
49.757,-0.746984945509491,-0.688015945824782,-0.167360786953938,9.40624140231724,0.11788965682995,0.765157519517055,0.0230241645704146,-9.14190465145911,-2.21739816755691,1.82128651891092,1015.11112371831,1000
49.758,-0.515127830301855,-0.115939121534281,-0.384007883760315,9.80706848908002,0.388447970246908,0.602728779971492,0.222568538063332,-5.67119110257034,-8.01043542219911,2.56512239746527,1014.4174249658,1000
49.759,-0.0170061279638639,0.479792691044308,-0.315420183864087,9.99451378046597,0.400028047278081,0.308203829730519,0.069206214436418,1.26706706664859,-9.92193878207016,-2.97457315721327,1014.18754613734,1000
49.76,0.24599515231832,0.87397944269814,0.049023533196476,10.2396380623538,0.0640133756706922,0.164218292506877,-0.189602938208523,8.0480231192908,-6.3311617600271,-2.23110655599508,1014.31657170641,1000
49.761,0.258517729257285,0.921179744292305,0.00251143280506488,10.4144892918929,0.0884227003342742,0.257830221060954,0.0190079126349266,10.3857317409834,0.778448449940981,-1.48749242500847,1014.54501764186,1000
49.762,0.472364631988317,0.597704287061662,0.0500020405342727,9.96240464919433,0.0402751455265662,0.356594081377313,0.313798041322311,6.77424966493289,7.30483880443591,-0.743686970871458,1014.87108787598,1000
49.763,0.594845585819882,0.02941788279724,0.273407533095118,9.22919799981626,-0.2132877184912,0.273159827389743,0.594959375775323,-0.217130556563106,9.22910839095946,0.000416380347690571,1015.3466369145,1000
49.764,-0.0509767843203963,-0.568831179438418,0.334685006149324,9.16303998289627,-0.342992446519595,0.280614925400906,0.189388356355572,-6.46334100048887,6.50416548512757,0.744835260687957,1015.60669047977,1000
49.765,-0.369737104902837,-0.970842812399755,0.0321697036766894,8.97216574624614,-0.084660356474885,0.371128878101614,0.00194227073684072,-8.94924116454543,0.646535484622921,1.48924128808202,1015.37323179359,1000
49.766,-0.354288002403577,-1.02459489862055,-0.0773275783218663,8.770344886829,0.0416257166058711,0.326884128417775,0.156991431628585,-6.93995545715051,-5.36262066409488,2.23342457255385,1015.04984365295,1000
49.767,-0.528843963919364,-0.709739881785588,-0.0326104093446327,9.1616092869125,0.00845548971836665,0.118631122905327,0.516397166578004,-1.50615200002692,-9.03696090365354,2.97736777970506,1014.67875260397,1000
49.768,-0.666349490455462,-0.145318920495262,-0.220547316080129,9.90631855086168,0.222162184321772,-0.180247112146271,0.67836106950748,5.23750540380697,-8.41148265244491,-2.562254256907,1014.02554505435,1000
49.769,-0.159344233397191,0.455235387828156,-0.357565284295204,10.1151309180993,0.422600812675388,-0.06657760757398,0.385760209741458,9.70101556509334,-2.89564534136688,-1.81911141134661,1013.63990470508,1000
49.77,0.214789912798352,0.864802670651615,-0.125705430578694,10.279621739023,0.240369251059514,0.129355658169585,0.212611560401621,9.1612752099526,4.66898672109458,-1.07608468648145,1013.68003655035,1000
49.771,0.393485098259955,0.939839957344013,0.165588717780327,10.2987215409961,-0.0490794697365385,0.285088395672083,0.317765247725262,3.31925719366874,9.74928745373754,-0.332917694824147,1013.99999696041,1000
49.772,0.497916784551983,0.633506566730255,0.000592576914340087,9.96485536795323,0.100986195344939,-0.198171941102524,0.456781520254096,-3.88431229693017,9.17718141347296,0.410527830575456,1014.41364170147,1000
49.773,0.657276492779308,0.073015317301054,0.0400376466789669,9.2039606195971,0.0621820401766613,-0.584891511399694,0.302518298627438,-8.39199929611107,3.78035785439501,1.15430614312503,1014.91946526238,1000
49.774,0.204170129645599,-0.529641811722842,0.244530203228248,8.91263347413888,-0.179305562867109,-0.272004551431395,0.16581310602891,-8.38075963511792,-3.03810037154703,1.89845580332434,1015.34026082555,1000
49.775,-0.411428781263968,-0.946500343964903,0.1590450720861,8.98424744088087,-0.145337170337722,0.0571803276642177,0.437377853960897,-4.17074596051736,-7.95881292058586,2.64272209383086,1015.21146276511,1000
49.776,-0.496036499370744,-1.01985677669933,-0.184690465858514,8.89125602958652,0.207651764015634,0.0587780996781703,0.526030333617026,1.95650283475016,-8.67580830219133,-2.89644014289191,1014.76231219396,1000
49.777,-0.441972169001103,-0.721938700280738,-0.0682542734718064,9.04669271831159,0.116764386023987,-0.331707560057606,0.299946892998299,7.49341925746299,-5.0700050190585,-2.15273433404141,1014.35988653479,1000
49.778,-0.498641263587726,-0.165430974316431,-0.119487158646887,9.66026172638111,0.181824680689737,-0.511364773360562,0.0377671735740437,9.56383435461892,1.37360448241206,-1.40932728031675,1013.91859825788,1000
49.779,-0.246569591523401,0.439136026359249,-0.192261276605421,10.1327747616096,0.286768326047151,-0.303537671452791,-0.0750056261555146,6.48813488712851,7.78841871811999,-0.66627697091037,1013.47036330014,1000
49.78,0.144287752572712,0.863026367112877,-0.144656405333491,10.3102344438035,0.277251347142956,-0.155273045703066,0.132795754542775,-0.512490392817102,10.3012211020323,0.0765938734857475,1013.42671080668,1000
49.781,0.372712020386429,0.953800619229118,0.114147060567346,10.3073356020524,0.0252146146922973,-0.194480761641944,0.337818050032659,-7.51577894169484,7.05371319871365,0.819548419277713,1013.67674638234,1000
49.782,0.397933514880502,0.664184419807858,0.174392668815036,10.0836377851824,-0.0741728034342743,-0.396517109499612,0.1775896029492,-10.0839081622445,0.00698304698998874,1.56274820705028,1014.05643490712,1000
49.783,0.529085751032535,0.111703869714008,0.0970453835342292,9.39006496615622,-0.0210121698706573,-0.457445515927804,-0.283007311510696,-6.94898207164434,-6.31548966810037,2.30623446741281,1014.47265688554,1000
49.784,0.442863128257296,-0.494589415869423,0.123993184054018,8.72497435508335,-0.070649666255321,-0.163956450320958,-0.429674693762435,-0.727201383666131,-8.69490350836615,3.05005425586332,1014.93760790233,1000
49.785,-0.202168340207281,-0.92525719378677,0.205797936253456,8.77003584789022,-0.18967642763639,-0.286272642188356,0.0356763602802422,5.47577223612085,-6.85313244718126,-2.48907554135491,1015.02894098062,1000
49.786,-0.592705033601319,-1.01730239515485,-0.0551612461130535,8.96020299372514,0.0558769939847226,-0.574147801601375,0.157150634250688,8.81464014044588,-1.60949654291578,-1.74516424273057,1014.58796168947,1000
49.787,-0.420153260567184,-0.73586787246472,-0.159809192666412,8.99690124395546,0.20036401615635,-0.440041645173904,-0.0918209722153387,7.68649355543283,4.67997805066937,-1.00162285953442,1014.10504544599,1000
