t,iq,id,vq,vd,ia,ib,va,vb,theta_e,omega,r
0.69,-0.236074308541143,0.0443630919256575,38.0480150483422,-2.21204331954199,-0.237904035479879,0.0331788031847406,36.7693524783697,-10.0279261608676,-1.89511920933351,3253.17516203444,3306.45
0.7,-0.329650477672312,-0.0525199685858703,41.9821544672892,2.48910671519654,0.0626469538964222,0.327876720273556,-3.78080597118018,-41.8855876425681,3.11079184499801,3255.47098332026,3306.45
0.71,-0.182489067641028,0.0330375717599787,34.2336210787231,-1.6523339362131,0.166496460774724,0.0816864095537208,-32.4765973834769,-10.9517871596327,1.84781261506199,3257.04637166868,3306.45
0.72,-0.275698580527014,0.014643144660429,38.5512297181037,-0.866821368554837,0.166670814712358,-0.220102177438742,-22.3279652489715,31.4389990283359,0.5950574650384,3258.45163935459,3306.45
0.73,-0.209293034462567,0.0455035369445653,35.0303957510448,-2.29264913280958,-0.090115412393255,-0.194302235185827,19.3263308960981,29.3066170107625,-0.648345969842932,3259.40824546333,3306.45
0.74,-0.333358186834597,-0.0419211163531277,41.2394015579805,1.95812633535864,-0.303757774955478,0.14358368598152,38.5821163288409,-14.6949923168874,-1.88726206434149,3259.95495078194,3306.45
0.75,-0.261207998512558,0.0472899824525344,37.4930893043055,-2.40058919128528,-0.0527662940898088,0.260157027841504,3.187612134844,-37.4343919801529,-3.12058583505069,3260.62973289477,3306.45
0.76,-0.366709070127067,-0.0102420072267343,42.7343318509203,0.379100478249017,-0.307245634849151,0.200450893466786,36.230582270057,-22.6652099988027,-2.12094337947895,3261.25929281443,3306.45
0.77,-0.221065870423731,-0.0234729358186278,35.4140737900322,1.13652468723656,0.0678245250795141,0.211709545320672,-8.29605263337115,-34.4474066001329,2.93734217592543,3261.6990097507,3306.45
0.78,-0.362258777883808,0.0193444723371038,42.5604357986136,-1.04599673961607,0.355697973004334,0.0713062603456322,-41.9662716125439,-7.16357812056164,1.71529345830737,3262.11441104489,3306.45
0.79,-0.249268442845925,-0.0285841562883302,36.8866754321242,1.37928313801211,0.0935045803691858,-0.232827627311559,-16.3437745039312,33.0969829648312,0.496062119617556,3262.45402004981,3306.45
0.8,-0.312305531709789,0.00371855335317905,40.0471205743313,-0.207616408413518,-0.203190957968886,-0.237196136931571,26.2576503948611,30.238233523295,-0.720240734170969,3263.0128190585,3306.45
0.81,-0.222899130311841,-0.000406015344686012,35.4263681815143,-0.0355065684884105,-0.208426664726125,0.0790095726692572,33.1614824296436,-12.4637436718287,-1.93131427096813,3263.74460144467,3306.45
0.82,-0.327203636811868,0.0507049980858515,40.8060734827789,-2.52220115282393,-0.227613407660816,-0.240469027999097,30.7139993664636,26.9842060223037,-0.911682411552803,3263.8619244942,3306.45
0.83,-0.282507031334346,-0.023719552212389,38.4977130708012,1.11643134091968,-0.229124536833635,0.166957439281015,32.3218123953606,-20.943275152178,-2.11674503364967,3264.41398439585,3306.45
0.84,-0.311852484574241,0.0358048758754581,39.9659866236392,-1.77210186579456,0.0195392289024518,0.313292482842282,-5.27681000278793,-39.6557146955913,2.96499299720551,3264.97696714134,3306.45
0.85,-0.201394091223446,-0.0167855535724848,34.3979738910565,0.774844830877844,0.200807180948588,0.0227554579811816,-33.8903095976071,-5.93867895243416,1.7667895173065,3265.3881406186,3306.45
0.86,-0.359313859439885,0.0645552599695579,42.2638907040471,-3.21639400401073,0.249022407558854,-0.26694881851942,-25.6129830135709,33.7721297667056,0.572902986897269,3265.95417201564,3306.45
0.87,-0.260190941825212,-0.00252168801387753,37.2621326048225,0.0486501003453125,-0.152732628381663,-0.21066188394192,21.6181966378853,30.3499994599236,-0.617625408606883,3266.37223581996,3306.45
0.88,-0.339910305440316,0.0230079184278829,41.3362356628073,-1.13355385155729,-0.335915765561318,0.0568241014206722,40.4626540288756,-8.52894788617223,-1.8059567866633,3266.74710849052,3306.45
0.89,-0.22828803947742,-0.0144085583903299,35.6790767437352,0.644768259007378,-0.168181611384941,-0.155041868910615,25.1234673824273,25.342131521979,-0.762995895839298,3267.24545558034,3306.45
0.9,-0.33084008578699,0.0647364620776335,40.8831618961234,-3.22056893646178,-0.331650289611012,0.06044879888636,39.2393939663497,-11.9195197911972,-1.94431545626555,3267.54763096148,3306.45
0.91,-0.250990184462575,-0.0210300729902999,36.9041361518004,0.97092234762184,0.0168009819245695,0.251308701944252,-0.349402121644285,-36.9152525857961,-3.12475410883275,3267.75894293563,3306.45
0.92,-0.334704501096482,0.00315173310081357,41.1331024634812,-0.138489885017128,0.305670087580726,0.136392206647502,-37.6642066079425,-16.5335670172445,1.98107553312101,3268.18939242106,3306.45
0.93,-0.24086484681487,-0.0188656613427528,36.3468157717713,0.862591066989054,0.160910615955449,-0.180220868053309,-25.6540453449011,25.7624734359434,0.807017126412003,3268.64621683954,3306.45
0.94,-0.289811637175491,0.036861276951599,38.8177299459366,-1.81958235852248,-0.0686878752215643,-0.283956888591187,12.1137025536761,36.9240470229926,-0.363847588390379,3269.2162659208,3306.45
0.95,-0.246836015787759,-0.000779127946907876,36.6070516355685,-0.043824953789163,0.157929714669135,-0.189701952954781,-23.5439506006867,28.0314205881218,0.697411559383467,3269.59216899106,3306.45
0.96,-0.318061658330995,0.0590513964398788,40.2391209179877,-2.93420445261557,-0.0904473090356577,-0.310595508998392,15.4937703164397,37.2523756209399,-0.466939664312913,3269.94101677676,3306.45
0.97,-0.291729159989448,-0.0675323717828495,38.9643283338813,3.29174393686343,-0.287197320207419,0.0847597976191718,38.6996476503702,-5.60283253306588,-1.63029384193906,3269.97310818693,3306.45
0.98,-0.348890841061173,-0.00846377112018046,41.7857632731793,0.440714407571071,-0.112161734130875,0.330478743332612,13.9712711462857,-39.3833445007936,-2.79014521404785,3270.61653983489,3306.45
0.99,-0.218205649246951,0.00291301310178269,35.2394691691075,-0.22280895753032,0.155381917808888,0.15322744736713,-25.2651574912378,-24.5670846478573,2.33586432283586,3270.98271278076,3306.45
1,-0.317736928711356,0.0365161109628342,40.2588977356026,-1.80664604302571,0.307835738152783,-0.0867602474795128,-37.9344353716725,13.6022582626155,1.18165913220283,3271.24165806442,3306.45
1.01,-0.240783145099927,0.0137462422683895,36.4553744700924,-0.765884694701709,0.0205627094126203,-0.240297018546477,-1.79844868470752,36.4190402049356,0.0283362796860738,3271.34404340971,3306.45
1.02,-0.3472129868475,-0.00393400175706479,41.7570582247387,0.213470606147466,0.308615483362974,-0.159150300138029,-37.2315693781601,18.9078746273388,1.1060044147931,3271.96168755367,3306.45
